Kabupaten/Kota , Jumlah Industri , Jumlah Tenaga Kerja
3301 Kab. Cilacap,6113,26149
3302 Kab. Banyumas,11746,146749
3303 Kab. Purbalingga,2465,9507
3304 Kab. Banjarnegara,2443,30428
3305 Kab. Kebumen,3368,1229
3306 Kab. Purworejo,38431,62421
3307 Kab. Wonosobo,20336,25697
3308 Kab. Magelang,2011,53214
3309 Kab. Boyolali,6181,131729
3310 Kab. Klaten,1195,87832
3311 Kab. Sukoharjo,11223,161501
3312 Kab. Wonogiri,578,37746
3313 Kab. Karanganyar,7348,129932
3314 Kab. Sragen,13621,9023
3315 Kab. Grobogan,3391,51808
3316 Kab. Blora,2129,6176
3317 Kab. Rembang,3401,4009
3318 Kab.Pati,7121,97329
3319 Kab. Kudus,4914,282323
3320 Kab. Jepara,7216,218969
3321 Kab. Demak,13274,111339
3322 Kab. Semarang,5127,306647
3323 Kab. Temanggung,3047,39543
3324 Kab. Kendal,7388,99901
3325 Kab. Batang,3022,45679
3326 Kab. Pekalongan,1632,74726
3327 Kab. Pemalang,1539,65982
3328 Kab. Tegal,3102,59533
3329 Kab. Brebes,779,72316
3371 Kota Magelang,4553,8753
3372 Kota Surakarta,1091,22245
3373 Kota Salatiga,1891,43356
3374 Kota Semarang,5967,277725
3375 Kota Pekalongan,10323,3433
3376 Kota Tegal,1904,10076
3300 Provinsi Jawa Tengah,243171,2967566