Kabupaten/Kota,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Cilacap,59962,743,25174,882434,968313
Banyumas,77121,1666,27514,804866,911167
Purbalingga,30145,473,13593,426265,470476
Banjarnegara,27419,803,16557,382335,427114
Kebumen,34877,1320,16922,589732,642851
Purworejo,29610,743,10409,358658,399420
Wonosobo,26560,1087,17161,315198,360006
Magelang,59972,1017,23840,546926,631755
Boyolali,49685,1711,19259,549287,619942
Klaten,71415,1411,25829,814023,912678
Sukoharjo,67258,867,15594,604287,688006
Wonogiri,48529,1520,17711,436478,504238
Karanganyar,67970,1116,18114,549699,636899
Sragen,55056,1193,24116,612217,692582
Grobogan,35259,1527,18968,704065,759819
Blora,25353,729,11684,416862,454628
Rembang,18885,1097,11236,306955,338173
Pati,60992,1416,31134,711295,804837
Kudus,46471,1286,22774,563972,634503
Jepara,46154,1214,27463,694778,769609
Demak,34075,1123,18972,646861,701031
Semarang,56894,2091,24762,559933,643680
Temanggung,34886,801,18242,298807,352736
Kendal,35511,1007,15728,597936,650182
Batang,24189,642,13728,379875,418434
Pekalongan,29030,584,9440,168195,207249
Pemalang,32992,970,14133,633557,681652
Tegal,37524,572,18003,701257,757356
Brebes,32521,914,16410,769577,819422
Kota Magelang,18893,627,5982,102012,127514
Kota Surakarta,87292,1458,27548,533359,649657
Kota Salatiga,24696,468,6717,138721,170602
Kota Semarang,283191,3135,89906,1608877,1985109
Kota Pekalongan,18816,340,7101,204351,230608
Kota Tegal,16213,630,6923,189773,213539
Jawa Tengah,1705416,38301,688647,18803423,21235787
,,,,,
Catatan,,,,,
"Data yang tersedia dari DITLANTAS POLDA SEMARANG berupa Banyaknya Kendaraan Bermotor yang Diregistrasi pada Kepolisian Daerah Jawa Tengah Menurut Jenis Kendaraan di Provinsi Jawa Tengah,",,,,,