kode,Kabupaten/ Kota Region,Perusahaan,Tenaga Kerja,,Jumlah Tenaga Kerja 
3501,Pacitan,     17 ,     898 ,    1 705 ,    2 603 
3502,Ponorogo,     34 ,     857 ,    1 098 ,    1 955 
3503,Trenggalek,     46 ,     444 ,    1 416 ,    1 860 
3504,Tulungagung,     188 ,    4 873 ,    6 842 ,    11 715 
3505,Blitar,     81 ,    1 859 ,    1 311 ,    3 170 
3506,Kediri,     122 ,    9 255 ,    6 426 ,    15 681 
3507,Malang,     267 ,    25 305 ,    28 015 ,    53 320 
3508,Lumajang,     85 ,    7 909 ,    4 691 ,    12 600 
3509,Jember,     176 ,    22 564 ,    20 467 ,    43 031 
3510,Banyuwangi,     280 ,    10 528 ,    11 557 ,    22 085 
3511,Bondowoso,     81 ,    4 785 ,    5 534 ,    10 319 
3512,Situbondo,     97 ,    5 727 ,    2 915 ,    8 642 
3513,Probolinggo,     64 ,    5 310 ,    7 427 ,    12 737 
3514,Pasuruan,     811 ,    59 860 ,    55 033 ,    114 893 
3515,Sidoarjo,     978 ,    102 108 ,    79 595 ,    181 703 
3516,Mojokerto,     270 ,    25 092 ,    20 099 ,    45 191 
3517,Jombang,     161 ,    13 453 ,    18 101 ,    31 554 
3518,Nganjuk,     45 ,    2 867 ,    2 923 ,    5 790 
3519,Madiun,     24 ,    1 593 ,    1 253 ,    2 846 
3520,Magetan,     37 ,    2 201 ,     899 ,    3 100 
3521,Ngawi,     27 ,    2 085 ,    2 928 ,    5 013 
3522,Bojonegoro    ,     88 ,    3 017 ,    5 972 ,    8 989 
3523,Tuban,     199 ,    5 310 ,    8 930 ,    14 240 
3524,Lamongan,     150 ,    3 753 ,    9 996 ,    13 749 
3525,Gresik,     603 ,    60 310 ,    33 632 ,    93 942 
3526,Bangkalan,     20 ,    1 457 ,     784 ,    2 241 
3527,Sampang,     25 ,     356 ,     384 ,     740 
3528,Pamekasan,     75 ,    2 287 ,    5 302 ,    7 589 
3529,Sumenep,     78 ,    1 021 ,    4 092 ,    5 113 
Kota /Municipality,,,,, -   
3571,Kediri,     36 ,    11 112 ,    14 923 ,    26 035 
3572,Blitar,     13 ,     355 ,    1 368 ,    1 723 
3573,Malang,     269 ,    16 491 ,    23 524 ,    40 015 
3574,Probolinggo,     47 ,    7 997 ,    14 901 ,    22 898 
3575,Pasuruan,     63 ,    2 325 ,    2 691 ,    5 016 
3576,Mojokerto,     63 ,    3 764 ,    4 244 ,    8 008 
3577,Madiun,     58 ,    4 288 ,    1 086 ,    5 374 
3578,Surabaya,     957 ,    90 938 ,    65 955 ,    156 893 
3579,Batu,     37 ,     613 ,     691 ,    1 304 
Jawa Timur,,    6 672 ,    524 967 ,    478 710 ,   1 003 677 
,,,,,
Sumber : BPS Provinsi Jawa Timur,,,,,